No,Layer,Name,Address,Description
11,Walk from OMO7 / station,11 Konishi Sushi,"3-jo-dori 6-chome Migi-6 Bldg A1F, Asahikawa, Hokkaido 070-0033, Japan (北海道旭川市3条通6丁目右6ビル A1F)",OPEN MAP: https://maps.google.com/?q=43.765167%2C142.362398. Sit-down sushi dinner. Reserve. Official ~7 min from JR Asahikawa. 0166-22-4443. https://konishisushi.com/contact/ Not Triton.

12,Taxi · Kaguraoka,12 Kouya,"43.740701, 142.3735135 (Kouya soup curry · 神楽岡5条6丁目3-10)",OPEN MAP: https://maps.google.com/?q=43.740701%2C142.3735135. Soup curry specialist. Walk-in only — no seats booked. Closed Tue/Wed. Hours often 11:00–19:30 LO 19:00 — confirm. Ticket-machine order. Taxi / car ~10 min from JR Asahikawa. Phone 0166-66-8120. Kaguraoka — not Midorigaoka. Not Okushiba.

13,Taxi · Midorigaoka,13 Okushiba,"43.748912, 142.365234 (Okushiba Shoten Asahikawa-tei · 奥芝商店 旭川亭)",OPEN MAP: https://maps.google.com/?q=43.748912%2C142.365234. Shrimp-broth soup curry; also serves Genghis Khan. Phone recommended weekends — 0166-51-1100. Taxi / car ~10 min Midorigaoka area — not Kouya Kaguraoka. https://okushiba.net/asahikawa/

14,Walk from OMO7 / station,14 Gin-neko,"5-jo-dori 7-chome Migi-6, Asahikawa, Hokkaido 070-0035, Japan (北海道旭川市5条通7丁目右6 5・7小路ふらりーと)",OPEN MAP: https://maps.google.com/?q=43.762912%2C142.365034. Shinkoyaki. Walk-in. Go early. In 5-7 Alley Furari-to. Closed Mon. 0166-22-4604. About 10 min from JR Asahikawa. Not Sanshiro.

15,Walk from OMO7 / station,15 Sanshiro,"2-jo-dori 5-chome Hidari-7, Asahikawa, Hokkaido 070-0032, Japan (北海道旭川市2条通5丁目左7 独酌三四郎)",OPEN MAP: https://maps.google.com/?q=43.766089%2C142.361712. Historic izakaya (Dokushaku Sanshiro, 1946). Phone Tue–Sat 16:00–21:00. 0166-22-6751. Sanroku / 3-6 street — about 15 min walk or a short taxi. Not Gin-neko.

16,Walk from OMO7 / station,16 Sumiya,"43.763891, 142.364123 (Sumiya Asahikawa · 炭や)",OPEN MAP: https://maps.google.com/?q=43.763891%2C142.364123. Salt horumon specialist. Phone only — 0166-26-4303. Walk-in by phone reservation. Hot Pepper has no net booking.

17,Walk from OMO7 / station,17 Coffee Tei Tirol,"43.765812, 142.361234 (Coffee Tei Tirol · 喫茶店ティロル)",OPEN MAP: https://maps.google.com/?q=43.765812%2C142.361234. Café since 1939. Phone / email. https://cafe-tirol.com/shop.html Station area.
