番号,レイヤー,施設名,住所,説明文
13,Echoland (Line VN),13 胡座屋 白馬,長野県白馬村北城3020-694,おでん・ラーメン。ダシ割り。木曜定休。Walk-in。旧・深山成吉思汗の番地。今は胡座屋。ジンギスカンのピンを残さない。
14,Echoland (Line VN),14 Hige Cafe,長野県北安曇郡白馬村北城3020-957,冬は串カツ居酒屋。0261-85-0499。同じ番地に「こいこい」がある。オレンジの入口を目視。
15,Echoland (Line VN),15 居酒屋 こいこい,長野県北安曇郡白馬村北城3020-957,八方の「こいや」（うなぎ）ではない。居酒屋。TableCheckなし。Instagram / walk-in。Hige Cafeと同番地なのでPlaceを分ける。
16,Echoland (Line VN),16 koubo-nikki / 酵母日記,〒399-9301 長野県北安曇郡白馬村北城3020-142,昼のみ。Hieの夜ではない。9:30–16:00、売り切れ次第終了。水曜定休。0261-72-4342。TABITABI（27・北城3020-1406）ではない。店の看板でPlaceを確認。
17,Taxi,17 Wagyu Samurai,長野県北安曇郡白馬村北城5276,焼肉。駅から約105m。TableCheck。080-9649-7950。タクシー。
18,Taxi,18 ききょう屋,〒399-9301 長野県北安曇郡白馬村北城白馬町1909-4,寿司。駅。八方BTではない。0261-72-3633。冬は予約。
19,Taxi,19 炭火焼肉 深山,〒399-9301 長野県北安曇郡白馬村北城5612-3,駅通りの焼肉。エコーランドの深山成吉思汗ではない（松本へ移転）。2時間席。0261-72-6309。タクシー。
20,Taxi,20 来夢来人,長野県北安曇郡白馬村北城8574-1,定食／カフェ。駅から約8分。Walk-in。0261-72-4785。
21,Taxi,21 グリルこうや,長野県北安曇郡白馬村大字北城5629-2,洋食・ハンバーグ・オムライス。駅〜八方道路。BTの塊ではない。Walk-in。0261-72-5354。
22,Taxi,22 グリンデル,長野県北安曇郡白馬村北城白馬町8853,昼のみ。夕食候補にしない。水曜定休。予約不可。現金。11:30–14:00（日14:30）。0261-72-4515。
23,Taxi,23 GARLIC / ガーリック 白馬,長野県北安曇郡白馬村大字北城みそら野828-120,ピザ／パスタ。みそら野。タクシー。水曜定休。0261-72-6490。
24,Taxi,24 SWEETS & BAKERY サクララ,長野県北安曇郡白馬村北城2937-682,パン／スイーツ。昼。9:30–16:00掲載。Hie通りではない。タクシー。090-2450-9309。定休は要確認。
25,Taxi,25 髙橋家,長野県北安曇郡白馬村大字神城23386-1,五竜ゲートのコンテナラーメン。横浜家系「たかはしけ」ではない。金曜定休。冬 12:00–20:15 L.O.。090-2165-8523。
26,Taxi,26 虹屋丼丸 白馬店,〒399-9211 長野県北安曇郡白馬村大字神城24840,安い海鮮丼・テイクアウト。飯森／神城。タクシー。0261-75-3224。
27,Taxi,27 TABITABI,長野県北安曇郡白馬村北城3020-1406,農園ジェラート。瑞穂。タクシー／車。月火定休。冬時間は変動。0261-85-2520。パフェはTableCheck。
28,Taxi,28 山品,長野県大町市美麻14658,八方の膳そば・林檎舎・りきではない。地粉の新行そば。昼のみ、11:00〜売り切れ。金曜定休。八方から車約30分。0261-23-1230。11:00–12:00に並ぶ。
29,Taxi,29 蕎麦処 りき,〒399-9301 長野県北安曇郡白馬村大字北城3020番地90,ステーキ店ではない。膳（09）・林檎舎（10）・山品（28）ではない。昼のみ 11:00–15:00、売り切れ次第終了。木金定休（農繁期は臨時休業あり）。瑞穂／オリンピック道路。タクシー。八方BT徒歩ではない。0261-85-4311。https://sobadokororiki.com/
